## Using https://gist.github.com/jgomezdans/2f7850cbc5f508a6f00d7bb8d2eb602f
# Site name; Code ; nyears ; lat ; lon ; igbp_lc; investigator_lc
'Cedar Bridge';'US-Ced';12;39.8379; -74.3791;'Evergreen Needleleaf Forest';'Pitch Pine/Scrub Oak'
'Silas Little Experimental Forest';'US-Slt';12;39.9138; -74.5960;'Deciduous Broadleaf Forest';'Oak/Pine Upland Forest'
'Oak Openings';'US-Oho';13;41.5545; -83.8438;'Deciduous Broadleaf Forest';'Fire-managed oak woodland'
'Marys River (Fir) site';'US-MRf';10;44.6465; -123.5515;'Evergreen Needleleaf Forest';'Douglas fir'
'Park Falls';'US-PFa';21;45.9459; -90.2723;'Mixed Forests';'Species of trees found in the upland regions include aspen, balsam fir, sugar maple, red maple, basswood, red pine, paper birch, yellow birch, and white spruce. Recent clear-cuts are dominated by dense aspen, while older stands tend to be dominated by sugar maple or red pine. Wetlands comprise about 40% of the surrounding landscape and include alder, cedar, tamarack, and black spruce stands.'
'Rosemount- G21';'US-Ro1';13;44.7143; -93.0898;'Croplands';'Corn-Soybean annual rotation (corn: 2003, 2005, 2007; soybean: 2004, 2006, 2008)'
'Rosemount- C7';'US-Ro2';10;44.7288; -93.0889;'Croplands';'Crops (Corn -C4/Soybean - C3)'
'Rosemount- G19';'US-Ro3';13;44.7217; -93.0893;'Croplands';'Corn-Soybean annual rotation (corn: 2003, 2005, 2007; soybean: 2004, 2006, 2008)'
'Juniper Woodland Site';'US-Ru1';16;40.2593; -112.4781;'Grasslands';'Juniper woodland'
'Sagebrush Site';'US-Ru2';16;40.2828; -112.4716;'Open Shrublands';'Sagebrush'
'Crested Wheatgrass Site';'US-Ru3';16;40.2830; -112.4630;'Grasslands';'Crested wheatgrass'
'Santa Rita Mesquite';'US-SRM';12;31.8214; -110.8661;'Open Shrublands';'30% canopy coverage by Velvet mesquites, typically 3-4 m  high. The majority of understory is dominated by a series of desert and savanna grasses. Maximum LAI measurements occur during mid-monsoon season, JD 213-243, for all understory and overstory species.'
'Sherman Island';'US-Snd';10;38.0373; -121.7536;'Cropland/Natural Vegetation Mosaic';'Pepperweed (Lepidium latifolium L.)'
'Sky Oaks';'US-SO4';12;33.3844; -116.6403;'Closed Shrublands';'Chamise-dominated chaparral'
'Sky Oaks- Old Stand';'US-SO2';23;33.3739; -116.6229;'Closed Shrublands';'Chamise-dominated chaparral'
'Sky Oaks- Young Stand';'US-SO3';23;33.3772; -116.6227;'Closed Shrublands';'Chamise-dominated chaparral'
'Austin Cary';'US-SP1';18;29.7381; -82.2188;'Mixed Forests';'Pine flatwoods, a pine uplands and cypress wetlands ecosystem assemblage that occupies nearly half of Floridian terrestrial landscape. The Austin Cary Memorial Forest is 95% pine uplands and 5% cypress wetlands, characterized by a mixture of longleaf pine and slash pine with a dense shrub understory.'
'Mize';'US-SP2';21;29.7648; -82.2448;'Mixed Forests';'Pine flatwoods, a pine uplands and cypress wetlands ecosystem assemblage that occupies nearly half of Floridian terrestrial landscape. The Mize tract is 100% pine uplands, characterized by an overstory composed solely of slash pines with a moderately dense shrub understory.'
'Donaldson';'US-SP3';18;29.7548; -82.1633;'Evergreen Broadleaf Forest';'Pine flatwoods, a pine uplands and cypress wetlands ecosystem assemblage that occupies nearly half of Floridian  terrestrial landscape. The Donaldson site is 100% pine uplands, characterized by an overstory composed solely of slash  pines with a moderately dense shrub understory.'
'Tonzi Ranch';'US-Ton';15;38.4316; -120.9660;'Woody Savannas';'Oak savanna, grazed grassland'
'J-17 Savanna Site';'US-Jss';14;30.1755; -97.8778;'Savannas';'Oak savanna, grazed grassland'
'Univ. of Mich. Biological Station';'US-UMB';18;45.5598; -84.7138;'Deciduous Broadleaf Forest';'Deciduous broadleaf forest'
'South Denver Urban Tower';'US-SDU';15;39.6594; -105.0127;'Urban and Built-Up';'Deciduous broadleaf forest'
'KUOM tower';'US-KUO';12;44.9983; -93.1886;'Cropland/Natural Vegetation Mosaic';'Turf grasses'
'Vaira Ranch';'US-Var';16;38.4067; -120.9507;'Woody Savannas';'Grazed C3 grassland opening in a region of oak/grass savanna'
'Valles Caldera';'US-Vca';13;35.8755; -106.4766;'Grasslands';'Grazed C3 grassland opening in a region of oak/grass savanna'
'Walker Branch Watershed';'US-WBW';14;35.9588; -84.2874;'Deciduous Broadleaf Forest';'Mixed-species, broad-leaved forest, deciduous forest, oak/hickory'
'Willow Creek';'US-WCr';12;45.8059; -90.0799;'Deciduous Broadleaf Forest';'Mature sugar maple-aspen-yellow birch forests, common type of second stage growth following old-growth hemlock-hardwood forests in northern Wisconsin'
'Wind River Crane Site';'US-Wrc';18;45.8205; -121.9519;'Evergreen Needleleaf Forest';'The Douglas-fir and western hemlock transitional overstory lies between the Western Hemlock Zone and the Pacific Silver Fir Zone, with an understory dominated by vine maple, salal, and Oregon grape.'
'Ganaderos';'VE-Gan';11;8.900105556; -68.15094444;'Woody Savannas';'The Douglas-fir and western hemlock transitional overstory lies between the Western Hemlock Zone and the Pacific Silver Fir Zone, with an understory dominated by vine maple, salal, and Oregon grape.'
'Mongo';'ZM-Mon';10;-15.43777778; 23.25277778;'Savannas';'Deciduous Broadleaf Forests'
'Flagstaff - Unmanaged Forest';'US-Fuf';11;35.0890; -111.7620;'Woody Savannas';'ponderosa pine forest'
'Flagstaff - Managed Forest';'US-Fmf';11;35.1416; -111.7273;'Woody Savannas';'ponderosa pine forest'
'Flagstaff - Wildfire';'US-Fwf';11;35.4454; -111.7718;'Closed Shrublands';'ponderosa pine forest burned by a wildfire 12 years ago (1996), now the vegetation includes only herbaceous species and a few shrubs'
'Palangkaraya';'ID-Pag';14;-2.345; 114.0363889;'Evergreen Broadleaf Forest';'ponderosa pine forest burned by a wildfire 12 years ago (1996), now the vegetation includes only herbaceous species and a few shrubs'
'Mase Paddy (participated in AsiaFlux activities from 1999)';'JP-Mas';17;36.0540; 140.0269;'Woody Savannas';'Croplands'
'Abisko';'SE-Abi';11;68.3624; 18.7948;'Woody Savannas';'Croplands'
'Delta Junction 1920 Control site';'US-Bn1';13;63.8881; -145.7394;'Evergreen Needleleaf Forest';'Evergreen broadleaf forest'
'Delta Junction 1987 Burn site';'US-Bn2';13;63.9178; -145.3731;'Mixed Forests';'Deciduous broadleaf forest'
'Delta Junction 1999 Burn site';'US-Bn3';13;63.9217; -145.7456;'Woody Savannas';'Black spruce (Picea mariana) and bunch grasses (Festuca altaica)'
'Ghanzi Grass Site';'BW-GhG';10;-21.51; 21.74;'Grasslands';'Grasslands'
'Zotino forest West';'RU-Zfw';15;60.7500; 89.3833;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Zotino bog';'RU-Zbo';15;60.7500; 89.3833;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Laqueuille extensive';'FR-Lq2';14;45.6392; 2.7370;'Croplands';'Grasslands'
'Sardinia/Arca di Noe';'IT-Noe';11;40.6061; 8.1515;'Woody Savannas';'Closed Shrublands'
'Ghanzi Mixed Site';'BW-GhM';10;-21.2; 21.75;'Savannas';'Savannas'
'CC-LaG site, Teshio Experimental Forest';'JP-Tef';15;45.0563; 142.1062;'Mixed Forests';'Conifer-hardwood mixed forest until January 2003.  Young larch plantation from late October 2003'
'Skukuza';'ZA-Kru';14;-25.0197; 31.4969;'Savannas';'Savannas'
'Southern California Climate Gradient Desert Chaparral';'US-SCc';10;33.6094; -116.4506;'Open Shrublands';'Desert chaparral'
'Southern California Climate Gradient Desert';'US-SCd';10;33.6528; -116.3725;'Open Shrublands';'Desert'
'Southern California Climate Gradient Grassland';'US-SCg';10;33.7364; -117.6947;'Closed Shrublands';'Grassland'
'Southern California Climate Gradient Coastal Sage';'US-SCs';10;33.7342; -117.6961;'Closed Shrublands';'Coastal sage'
'Southern California Climate Gradient Oak Pine Forest';'US-SCf';10;33.8081; -116.7717;'Woody Savannas';'Oak/pine forest'
'Southern California Climate Gradient Pinyon Juniper Woodland';'US-SCw';10;33.6047; -116.4527;'Open Shrublands';'Pinyon juniper'
'San Joaquin Freshwater Marsh, Tower 1';'US-SJ1';18;33.6600; -117.8500;'Closed Shrublands';'Cattail (Typha latifolia) dominated freshwater marsh'
'San Joaquin Freshwater Marsh, Tower 2';'US-SJ2';13;33.6600; -117.8500;'Closed Shrublands';'Cattail (Typha latifolia) dominated freshwater marsh'
'Sevilleta Desert Grassland (LTER)';'US-Seg';10;34.3623; -106.7020;'Grasslands';'Desert grassland'
'Sevilleta Desert Shrubland (LTER)';'US-Ses';10;34.3349; -106.7442;'Grasslands';'Desert shrubland'
'Valles Caldera Ponderosa Pine';'US-Vcp';10;35.8624; -106.5974;'Woody Savannas';'Pondersona pine'
'Valles Caldera Mixed Conifer';'US-Vcm';10;35.8884; -106.5321;'Evergreen Needleleaf Forest';'Mixed-conifer'
'Cottonwood';'US-Ctn';10;43.9500; -101.8466;'Grasslands';'Grassland/range'
'Corral Pocket';'US-Cop';13;38.0900; -109.3900;'Grasslands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Laoshan';'CN-Lao';14;45.2786; 127.5784;'Mixed Forests';'Mixed C3-C4, mostly perennial bunchgrasses'
'Typical Steppe Xilingol';'CN-Xg1';13;44.1342; 116.3286;'Grasslands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Jinzhou';'CN-Jnz';12;41.8167; 121.2000;'Croplands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Panjin Wetland (Natural Reed)';'CN-Pa1';12;41.1400; 121.9117;'Cropland/Natural Vegetation Mosaic';'Mixed C3-C4, mostly perennial bunchgrasses'
'Panjin Wetland (Paddy Rice)';'CN-Pa2';12;41.1450; 121.9150;'Cropland/Natural Vegetation Mosaic';'Mixed C3-C4, mostly perennial bunchgrasses'
'Huzhong Boreal Forest';'CN-Huz';10;51.4700; 123.0100;'Mixed Forests';'Mixed C3-C4, mostly perennial bunchgrasses'
'Ailaoshan';'CN-Ail';12;24.5381; 101.0289;'Evergreen Needleleaf Forest';'Mixed C3-C4, mostly perennial bunchgrasses'
'Maqu';'CN-Maq';11;37.8800; 102.1500;'Grasslands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Haibei Shrubland';'CN-Ha2';14;37.6653; 101.3311;'Grasslands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Haibei Wetland';'CN-Ha3';14;37.6086; 101.3269;'Grasslands';'Mixed C3-C4, mostly perennial bunchgrasses'
'Alp Weissenstein';'CH-Aws';10;46.5833; 9.7904;'Evergreen Needleleaf Forest';'Grasslands'
'Nebraska SandHills Dry Valley';'US-SdH';12;42.0693; -101.4072;'Grasslands';'U.S. Great Plains mixed grass prairie'
'Tesopaco';'MX-Tes';12;27.8400; -109.3000;'Woody Savannas';'U.S. Great Plains mixed grass prairie'
'Rayon';'MX-Ray';12;29.7400; -110.5300;'Open Shrublands';'U.S. Great Plains mixed grass prairie'
'Zackenberg Heath';'DK-ZaH';15;74.4732; -20.5503;'Open Shrublands';'Grasslands'
'Stubai Abandoned';'AT-StA';10;47.1253; 11.2894;'Evergreen Needleleaf Forest';'Grasslands'
'Stubai Meadow';'AT-StM';11;47.1289; 11.3058;'Mixed Forests';'Grasslands'
'Daring Lake';'CA-Da1';12;64.8689; -111.5748;'Open Shrublands';'Open Shrublands'
'Daring Lake Fen';'CA-Da2';10;64.8648; -111.5748;'Open Shrublands';'Permanent Wetlands'
'Zarnekow';'DE-Zrk';11;53.8759; 12.8890;'Cropland/Natural Vegetation Mosaic';'Permanent Wetlands'
'Siikajoki';'FI-Skj';11;64.7807; 24.6515;'Evergreen Needleleaf Forest';'Permanent Wetlands'
'Vesijako';'FI-Ves';12;61.3716; 25.1055;'Evergreen Needleleaf Forest';'Evergreen Needleleaf Forests'
'Spasskaya Pad larch';'RU-SkP';15;62.2550; 129.1680;'Deciduous Needleleaf Forest';'Deciduous Needleleaf Forests'
'King Sejong Station site';'AQ-KSe';14;-62.232115; -58.804321;'Water';'Deciduous Needleleaf Forests'
'Kumpala';'FI-Kmp';11;60.2029; 24.9610;'Urban and Built-Up';'Urban and Built-up'
'Mymensingh Flux Study Site';'BD-Mym';10;24.7393; 90.4263;'Croplands';'Urban and Built-up'
'Appi forest meteorology research site';'JP-APP';16;40.0224; 140.9393;'Mixed Forests';'Urban and Built-up'
'Dasan Station site';'JP-Das';13;78.9167; 11.9333;'Snow and Ice';'Urban and Built-up'
'Fuji Hokuroku Flux Observation Site';'JP-FHK';10;35.4435; 138.7647;'Mixed Forests';'Urban and Built-up'
'Fujisaki Farm Apple Orchard';'JP-Fsk';10;40.6547; 140.4853;'Croplands';'Urban and Built-up'
'Karuizawa';'JP-Kar';14;36.4000; 138.5833;'Mixed Forests';'Urban and Built-up'
'Kiryu Experiment Watershed';'JP-KEW';15;34.9636; 135.9944;'Mixed Forests';'Urban and Built-up'
'Nakashibetu Station  NLBC';'JP-Nks';12;43.5461; 144.9665;'Woody Savannas';'Urban and Built-up'
'National Institute of Livestock and Grassland Science Nasu Research Station';'JP-Nsu';12;36.9257; 139.9678;'Croplands';'Urban and Built-up'
'Takayama evergreen coniferous forest site';'JP-Ta2';11;36.1397; 137.3708;'Mixed Forests';'Urban and Built-up'
'CC-LaG Teshio Experimental Forest';'JP-TEF';15;45.0558; 142.1073;'Mixed Forests';'Urban and Built-up'
'KoFlux Haenam site';'KR-Hae';14;34.5536; 126.5643;'Croplands';'Urban and Built-up'
'Gwangneung Deciduous site (GDK)';'KR-Kw2';14;37.7500; 127.1500;'Mixed Forests';'Urban and Built-up'
'Kherlenbayan Ulaan';'MN-Khr';13;47.2140; 108.7373;'Grasslands';'Urban and Built-up'
'Southern Khentei Taiga';'MN-Knt';12;48.3519; 108.6543;'Croplands';'Urban and Built-up'
'Pasoh Forest Reserve';'MY-PSO';14;2.973; 102.3062;'Evergreen Broadleaf Forest';'Urban and Built-up'
'Tura';'RU-Tur';12;64.2089; 100.4636;'Woody Savannas';'Urban and Built-up'
'Rubber Flux Chachoengsao';'TH-Cgs';10;13.665556; 101.441389;'Cropland/Natural Vegetation Mosaic';'Urban and Built-up'
'Kog-Ma Watershed';'TH-Kog';19;18.8000; 98.9000;'Evergreen Broadleaf Forest';'Urban and Built-up'
'Mae Moh plantation';'TH-Moh';16;18.4229; 99.7180;'Woody Savannas';'Urban and Built-up'
'The Lien-Hua-Chih Hydrometeorological Study Site';'TW-LHC';11;23.9310; 120.8942;'Evergreen Broadleaf Forest';'Urban and Built-up'
'Daring Lake - Mixed Tundra';'CA-DL1';12;64.8689; -111.5748;'Open Shrublands';'Urban and Built-up'
'Daring Lake - Fen';'CA-DL2';10;64.8648; -111.5677;'Permanent Wetlands';'Urban and Built-up'
'Barrow-Bes (Biocomplexity Experiment South tower)';'US-Bes';11;71.2809; -156.5965;'Permanent Wetlands';'Urban and Built-up'
'Konza Prairie LTER (4B)';'US-KFB';10;39.0745; -96.5951;'Grasslands';'Urban and Built-up'
'Osservatorio Ximeniano';'IT-OXm';10;43.7745; 11.2552;'Grasslands';'Urban and Built-up'
'GLEES Brooklyn Tower';'US-GBT';16;41.3658; -106.2397;'Evergreen Needleleaf Forests';'Urban and Built-up'
